smiles,viscosity
CC(C)(CO)N(CCO)CCO,0.002546286
CC(C)CN1CCOCC1,0.002421783
CC(CO)CN1CCCC1,0.002451552
CC(O)CN(C)CC(C)O,0.002562834
CC(O)CN(CC(C)O)CC(C)O,0.002517921
CC(O)CN(CCO)CC(C)O,0.002593433
CC(O)CN(CCO)CCO,0.002686911
CC(O)CN1CCCCC1,0.002434602
CC(O)CN1CCN(C)CC1,0.002516813
CC(O)CN1CCOCC1,0.002647647
CCCCN(CC(C)O)CC(C)O,0.002423182
CCCN(CCO)CCO,0.002557395
CCN(CC)CCOCCO,0.002578822
CCN1CCOCC1,0.002517838
CN(C)C1CCC(O)CC1,0.002378108
CN(C)C1CCCCC1O,0.002418225
CN(C)CCSCCN(C)C,0.002631522
CN(CCCO)CCCO,0.002480471
CN(CCOCCO)CCOCCO,0.002646618
CN1CCSCC1,0.002642236
OCC(CO)N1CCCCC1,0.002539553
OCCCN(CCO)CCO,0.00279749
OCCCN1CCCCC1,0.002475466
OCCN1CCN(CCO)CC1,0.002601388
OCCN1CCOCC1,0.002722213
CCN(CC)CC(O)CCCO,0.002533005
CN1CCC(C(O)CO)C1,0.002449234
CCCCCCCCCCN1CCOCC1,0.002500651
OCCN(CCO)C1CCCCC1O,0.002664046
CC(C)CN(CCS)CC(C)C,0.002458561
CN(C)CC(CO)(CO)CO,0.002656538
CCN1CC(O)CC(O)C1,0.002494664
CC(S)CN(C)C,0.002801939
CCN(C)C1COCC1O,0.002701348
CC(C)(C)CC(C)(C)N(CCO)CCO,0.002381355
CC(CO)N1CCN(C(C)CO)CC1,0.002432476
OCCCCN(CCCCO)CCCCO,0.002598021
CC(O)CN(CC(C)O)C1CCCCC1,0.002379656
CCN1CCCCC1CCCO,0.002487114
CC(CCCO)N1CCOCC1,0.002406748
CCCN(CCC)CC(C)(C)CO,0.002311751
CC1CCCC(CO)N1CCO,0.002539945
CC(O)CC1CCCN1C,0.002513132
CCC(O)CN(CC(C)O)CC(C)O,0.002518546
CC(C)N(CCCO)CCCO,0.002417891
CN(CCO)CCCN1CCCC1,0.002500298
CCOC(CC)CN(CCO)CCO,0.002555761
CC1(C)CCCN(CCO)C1,0.002253072
CCCCN(CCCC)CC(C)O,0.002286269
CCCC(O)CCCN(C)C1CCCC1,0.002474878
OCCCN1CCCC(CO)C1,0.002532553
CCN(CC)CCSCCN(CC)CC,0.002498015
CN(CCO)CCN(C)CCO,0.002615567
CC(C)CCN(CCO)CCC(C)C,0.002336833
CCCCN(C)CCCCCO,0.002494793
CCN(CC)C1CCCC1O,0.002405227
OCCN(CCO)CCCN1CCOCC1,0.002700348
OCCCN(CCCO)C1CCCCC1,0.002415155
CC(C)C(O)CCN1CCCCC1,0.002391437
CCN(CC)CCCN(CCO)CCO,0.002530789
CC1OC(CN(C)C)CC1O,0.002458813
CC(O)CCN(CCO)CCO,0.002664172
CC1CCCCN1CCCCCCO,0.002493281
CN(CCO)C1CCCCC1,0.002304443
CCN(CC)CC(O)CN(CC)CC,0.002399787
OCCCSCCN1CCOCC1,0.002832106
CCCCCCCC1CCCN1CCCO,0.002540084
CCC(O)CCCN1CCCC1,0.002505486
CCCN(CCCO)CCCO,0.002479649
SCCCCCN1CCCCC1,0.002569202
CC(C)(O)CCN1CCCCC1,0.002382297
CCCCCCCCN(CCO)CCO,0.002539282
CN(CCCO)CCCN(C)CCCO,0.002543832
CN(CCO)CCCO,0.00257408
CCC(O)CN(CC(O)CC)CC(O)CC,0.002480837
CCCCN(CCCC)CCCCO,0.002354411
CN(CCO)C1CCCCC1O,0.002465375
CN(C)CC(CO)(CO)CN(C)C,0.002536848
OCCCN1CCCCC1CCO,0.002685437
CCCCN1CCOCC1,0.002488511
CCN(CC)CCCC(O)CO,0.002533005
CN(C)CCCN(CCO)CCO,0.002605674
CN(C)CCN1CCN(CCO)CC1,0.002502914
OCCCCCN1CCOCC1,0.002635914
OCCN(CCO)C1CCCC1,0.002533274
CCN(CCO)C1CCCCC1,0.002314967
CCN(CC(C)O)CC(C)O,0.002404593
OCCCN(CCCO)CCCO,0.002677594
CCCCN(CCCC)CC(O)CO,0.002427071
CN(CCO)CCOCCN(C)CCO,0.002725351
OCCCCCCN1CCCCC1,0.002480631
CCCCCC1CCCN1CCO,0.002545582
CC(C)CCN(CCO)CCO,0.002489687
CN(CCO)CCCCCO,0.002548096
CCCCN(CCO)CCCC,0.002401141
CCCCN(CCS)CCCC,0.002557808
CCCN(CCS)CCS,0.002809852
CC(CS)CN1CCCC1,0.002664333
CC(C)(C)N(CCO)CCO,0.002428095
CC(C)N(CCO)CCO,0.002483915
CC(O)CN(C)C,0.002472211
CCN(CC)CC(C)O,0.002340345
CCN(CC)CC(O)CO,0.0025451
CCN(CC)CCCO,0.002415658
CCN(CC)CCO,0.002411761
CCN(CCO)CCO,0.00257408
CCN1CCCC(O)C1,0.00243894
CN(C)C(C)(C)CO,0.002372523
CN(C)CC(C)(C)CO,0.002394523
CN(C)CC(O)CO,0.002703623
CN(C)CCCO,0.00253377
CN(C)CCO,0.0025658
CN(CCO)CCO,0.002605116
CN1CCCC(O)C1,0.002462221
CN1CCCCC1CCO,0.002488511
OCC(O)CN1CCCC1,0.002712264
OCC(O)CN1CCCCC1,0.002605772
OCCN(CCO)CCO,0.002844817
OCCN1CCCC1,0.002593382
OCCN1CCCCC1,0.002481982
CC(C)N(CCO)C(C)C,0.002241347
CCN(C)CCC(C)O,0.002434747
